investor_id,investor_name
1041,Aviva Ventures
1042,AVM (Boca Raton)
1043,AVZIRE
1044,Aweida Venture Partners
1045,Awz Ventures
1046,Axiom Capital Group
1047,Axiom Capital Management
1048,Axiom Venture Partners
1049,Backswing Ventures
1050,Badger Fund of Funds
1051,Bainbridge Hershiser Holdings Group
1052,Baker & Eastlack Ventures
1053,BAM Ventures
1054,Band of Angels
1055,Bandgap Ventures
1056,Banyan Ventures
1057,Barclay Street Ventures
1058,Barenberg Capital Partners
1059,Barnard Associates
1060,Baron Capital Management
1061,Baron de Hirsch Fund
1062,Base Ventures
1063,Baseline Ventures
1064,BASF Venture Capital
1065,Basis Vectors
1066,Batshit Crazy Ventures
1067,Bay Management Group
1068,Bay Street Capital
1069,Bayou Bridge Capital
1070,Baystate Health Foundation
1071,BBG Ventures
1072,BC Discovery Fund
1073,BO Ventures
1074,BOC Healthcare Venture Fund
1075,Beacon Foundation
1076,Beanstalk Ventures
1077,Beedie Capital
1078,Beel Infrastructure Partners
1079,Belfer Management
1080,Beliade
1081,Belmont University Endowment
1082,Bemis Capital
1083,Ben Franklin Technology Partner of Southeastern Pennsylvania
1084,Ben Silverman
1085,Bench Walk Advisors
1086,Benefit Capital Companies
1087,Benefit Chicago
1088,Benevolent Generation
1089,Benjamin Un
1090,Benson Capital Partners
1091,Berg Capital Group
1092,Berkeley SkyDeck
1093,Bernard Osher Foundation
1094,Bertelsmann Digital Media lnvestments
1095,Beta Fund
1096,Betaworks
1097,Better Tomorrow Ventures
1098,BFG Partners
1099,BGI Advisors
1100,Bhupendra Shah
1101,Big River Real Estate
1102,Binghamton University Foundation
1103,BioAdvance
1104,BioCrossroads
1105,BioEnterprise
1106,BioGenerator
1107,Biomark Capital
1108,BioRock Ventures
1109,Biosciences Research and Commercialization Center
1110,BioVeda Capital
1111,Birchmere Ventures
1112,Bird Dog Equity Partners
1113,Birmingham Business Alliance
1114,Bishop Wealth Management
1115,Bizrupt
1116,BKF Asset Management
1117,Black Diamond Ventures
1118,Black Oak Capital Partners
1119,Black Star Fund
1120,Blackhorn Ventures
1121,BlackRabbitCapital
1122,Blackstone Charitable Foundation
1123,Blackthorne Partners
1124,Blacktyde Capital Partners
1125,Blanchard Valley Health System Pension Plan
1126,Bleu Capital
1127,BlocTech Investment Group
1128,Bloodhound Partners
1129,Bloomberg Beta
1130,Blue Bear Capital
1131,Blue Collective
1132,Blue Cross and Blue Shield of Minnesota Pension Plan
1133,Blue Cross Blue Shield of Massachusetts for Expanding Healthcare Access
1134,Blue Delta Capital Partners
1135,Blue Lagoon Capital
1136,Blue Water Capital Management
1137,Blueberry Ventures
1138,Bluebird Ventures
1139,Bodhi Tree Asset Management
1140,Bohemian Foundation
1141,Boise State University Foundation
1142,Bolt Innovation Group
1143,BonBillo Ventures
1144,Bond Growth+Equity
1145,Boomtown Accelerators
1146,Booth Ferris Foundation
1147,Bootstrap Venture Partners
1148,Bootstraplabs
1149,Boreal Ventures
1150,Bertel Investment Management
1151,Boston Capital Ventures
1152,Boulder Investment Group Reprise
1153,Bourne Financial Group
1154,B6veda Asset Management
1155,Bowery Capital
1156,BR Venture Fund
1157,Brain Trust Accelerator Fund
1158,BrainStorm Ventures
1159,Brand Capital International
1160,BrandProject
1161,Branzan Investment Advisors
1162,Brave14 Capital
1163,Bread & Butter Ventures
1164,Breakaway Capital
1165,Breakaway Ventures
1166,Breakout Ventures
1167,Breakwater Investment Management
1168,Breast Cancer Research Foundation of Alabama
1169,Bregal Energy
1170,Brentwood Capital Advisors
1171,Bretwood Capital Partners
1172,Breyer Capital
1173,Brick Capital Management
1174,Brickburn Asset Management
1175,Brickell Key Asset Management
1176,Bridge Investment Fund
1177,Bridge Lane Capital
1178,Bridge Line Ventures
1179,Bridgelight Capital
1180,Bridgescale
1181,Brighter Capital
1182,Brillembourg Ochoa Family Foundation
1183,Brisbois Capital
1184,Bristol-Myers Squibb Foundation
1185,Britton Hill Partners
