fm_name,fm_id
Lateral Investment Management,18085
Sorenson,7232
Team8,20582
Team8,20582
Team8,20582
Team8,20582
Performance Equity Management,2043
Performance Equity Management,2043
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Da Vinci Capital Management,8508
Valuestream Ventures,18676
Galvanized Holdings,20587
LifeSci Capital,20589
RPM Ventures,10880
8VC,17030
Victory Park Capital,12129
Centerbridge Partners,7765
New Science Ventures,15752
New Science Ventures,15752
New Science Ventures,15752
New Science Ventures,15752
New Science Ventures,15752
New Science Ventures,15752
InTandem Capital Partners,18350
InTandem Capital Partners,18350
TRP Capital Partners,17769
Adams Street Partners,6359
Adams Street Partners,6359
Adams Street Partners,6359
Adams Street Partners,6359
Adams Street Partners,6359
Khosla Ventures,10222
Endeavour Capital,6761
Endeavour Capital,6761
Endeavour Capital,6761
Pharmakon Advisors,14438
Pharmakon Advisors,14438
Phyto Partners,19259
Phyto Partners,19259
Phyto Partners,19259
MINDSHIFT Capital,20607
MINDSHIFT Capital,20607
MINDSHIFT Capital,20607
MINDSHIFT Capital,20607
Tola Capital,16776
Tola Capital,16776
Tola Capital,16776
Servco Pacific Capital,20612
Servco Pacific Capital,20612
Altos Ventures,10782
Claritas Capital,12886
Claritas Capital,12886
VÃ¤rde Partners,8397
50 South Capital,16825
Apollo Global Management,8096
Marblegate Asset Management,17759
Yorktown Partners,6842
TZP Group,11875
TZP Group,11875
TPE Boulder,6712
Evolution,20621
Motive Partners,18415
Motive Partners,18415
Motive Partners,18415
Motive Partners,18415
Motive Partners,18415
Motive Partners,18415
Wonder Ventures,18476
Neuberger Berman Private Markets,1801
Miramar Venture Partners,14648
Hirtle Callaghan & Co.,2838
Pathway Capital Management,6635
Asset Management Ventures,13217
Asset Management Ventures,13217
Asset Management Ventures,13217
Progress Ventures,14946
Argon Ventures,20638
Glendower Capital,18631
NXT Capital,12191
NXT Capital,12191
Frontline,15993
Frontline,15993
Indigo Global Advisors,20659
HPS Investment Partners,7143
XRC Labs,20660
XRC Labs,20660
XRC Labs,20660
New Enterprise Associates,6610
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
Glasswing Ventures,17611
Environmental Commodity Partners,20672
Environmental Commodity Partners,20672
Environmental Commodity Partners,20672
WP Global Partners,2011
WP Global Partners,2011
